ProposedIndex,IIHH,Shannon,Size,AssetTurnover,Debt,QuickRatio,CashHoldings,ROE,ROI,ROA
0.7229,1.5885,0.6755,17.7893,0.53,1.18,0.3447,0.0805,0.2294,0.0931,0.0759
0.8215,1.7254,0.8343,16.8986,0.09,,0.0023,0.0055,0.1493,-0.566,-0.1822
1.0245,2.9501,1.2782,15.7305,0.07,,0.0046,0.0063,0.0087,0.0646,-0.0083
1.2546,2.3095,1.2745,17.9418,0.19,3.51,0.7396,0.0818,-0.092,0.0827,-0.017
1.5123,3.1063,1.5384,18.416,0.17,9.09,0.3585,0.0697,-0.1445,0.0672,-0.0149
1.3906,2.6414,1.452,18.416,0.14,2.43,0.7737,0.0681,0.0585,0.0617,0.0156
0.6705,1.6967,0.6192,17.7444,0.24,0.33,0.531,0.07,0.2201,0.1753,0.1552
0.6847,1.6596,0.6551,17.8659,0.24,0.34,0.3092,0.0336,0.0624,0.0767,0.043
0.4975,1.2038,0.3565,18.8022,0.14,0.57,0.0363,0.0068,0.0752,0.071,0.0437
0.5082,1.297,0.3899,17.3812,0.97,1.57,0.7692,0.1462,0.3947,0.3284,0.133
0.5966,1.3637,0.5226,17.3903,0.97,2.18,0.6411,0.1687,0.4466,0.2903,0.1168
0.5932,1.3718,0.5295,17.5594,0.96,3.78,0.469,0.1188,0.5888,0.2326,0.0975
1.0123,2.5683,1.0325,17.2253,1.13,1.03,0.0524,0.0203,0.019,0.0801,0.0055
1.0575,2.9816,1.1223,17.3086,0.8,1.26,0.1206,0.0342,-0.0916,0.0767,-0.0307
1.0782,2.8725,1.1499,17.2685,0.77,1.1,0.0812,0.0225,0.1605,0.1525,0.054
0.8548,1.9228,0.8521,16.7541,0.86,1.28,0.2115,0.0284,0.0134,0.1234,0.0053
0.9852,2.4633,1.0127,16.7624,0.95,1.14,0.1267,0.0192,0.074,0.1158,0.0288
0.868,1.9972,0.8708,16.9638,1.1,1.16,0.16,0.0309,0.2049,0.1353,0.0705
0.4244,1.0682,0.1557,18.4053,0.8,0.26,0.1377,0.0636,0.1916,0.1449,0.1183
0.5601,1.3317,0.4838,18.641,0.78,0.28,1.6643,0.2427,0.0211,0.1334,0.0123
0.511,1.2818,0.4343,19.0079,0.73,0.47,1.7403,0.1595,0.1239,0.1301,0.0728
1.1853,3.3408,1.3061,15.8114,0.41,1.19,1.0341,0.0541,-0.4363,-0.0134,-0.1863
1.1458,3.2384,1.2523,15.7288,0.45,0.8,2.2296,0.2427,-0.0981,0.0283,-0.0512
0.9907,2.5619,1.0152,15.1705,0.62,2.23,1.5816,0.1595,0.0024,0.0024,0.0006
0.8449,2.2536,0.8973,15.2977,0.58,0.11,0.5482,0.1035,0.0923,0.1376,0.0685
0.7555,2.0162,0.8179,15.2857,0.63,0.05,0.8944,0.0993,0.1168,0.1497,0.098
0.8106,2.1529,0.8317,15.5955,0.52,0.46,0.223,0.0277,0.0287,0.0372,0.0173
0.9726,2.3671,1.0534,17.0355,0.44,0.26,1.3705,0.1347,0.2616,0.1499,0.1878
